@var: pct = 1.3065E-22*Tgas
@format:idx,R,R,R,P,P,P,rate
@photo_start
303,H2O,O2,,OH,HO2,,4.80E-11*exp(250./Tgas)*pct**(0)/exp(-0.3126907500000011*(log(Tgas)-1)+0.0021170516600000004*Tgas/2+-9.40728722e-06*Tgas**2/6+1.2986332469999999e-08*Tgas**3/12+-5.639750900000001e-12*Tgas**4/20--34990.586405/Tgas+-0.8039970029999997)
304,HO2,O2,,OH,O3,,3.05E-13*(Tgas/298.)**(2.50e+00)*exp(-402./Tgas)*pct**(0)/exp(0.6848879799999996*(log(Tgas)-1)+-0.007398579210000001*Tgas/2+1.254034698e-05*Tgas**2/6+-7.747369230000003e-09*Tgas**3/12+1.4120533400000017e-12*Tgas**4/20--20033.321335/Tgas+-0.8041393930000011)
305,OH,O2,,HO2,O,,3.20E-11*(Tgas/298.)**(0.66e+00)*exp(-232./Tgas)*pct**(0)/exp(0.3043754299999999*(log(Tgas)-1)+0.0026306390999999998*Tgas/2+-1.3337412120000001e-05*Tgas**2/6+1.684399949e-08*Tgas**3/12+-6.7979885700000016e-12*Tgas**4/20--27081.322885/Tgas+-2.2149184070000003)
306,OH,O2,O2,HO2,O3,,1.97e-16*((Tgas/298.)**4.57)*exp(695./Tgas)*pct**(1)/exp(3.8477166799999996*(log(Tgas)-1)+-0.005699204529999999*Tgas/2+-1.0695651350000002e-05*Tgas**2/6+2.336579236e-08*Tgas**3/12+-1.1202332750000002e-11*Tgas**4/20--14887.505145/Tgas+-4.787785017000001)
307,H2O2,O2,M,HO2,HO2,M,1.90E-33*exp(980/Tgas)*pct**(0)/exp(-0.5059882900000008*(log(Tgas)-1)+0.005654117158*Tgas/2+-1.4828846690000002e-05*Tgas**2/6+1.6195193310000002e-08*Tgas**3/12+-6.251274550000002e-12*Tgas**4/20--19298.72423/Tgas+-0.5019154800000005)
308,HO2,H2O,,H2O2,OH,,2.9e-12*exp(-160./Tgas)*pct**(0)/exp(0.19329754000000143*(log(Tgas)-1)+-0.0035370654980000004*Tgas/2+5.421559470000001e-06*Tgas**2/6+-3.208860840000003e-09*Tgas**3/12+6.115236500000013e-13*Tgas**4/20--15691.862174999998/Tgas+-0.3020815229999999)
309,O2,M,,O,O,M,5.21e-35*exp(900./Tgas)*pct**(-1)/exp(-2.55407784*(log(Tgas)-1)+0.00356190352*Tgas/2+-3.4388259099999993e-06*Tgas**2/6+2.5748373899999995e-09*Tgas**3/12+-9.815910499999999e-13*Tgas**4/20--59308.46196/Tgas+-0.44619118999999996)
310,O3,M,,O,O2,M,5.70E-34*(Tgas/298.)**(-2.60e+00)*pct**(-1)/exp(-3.5433412499999997*(log(Tgas)-1)+0.00832984363*Tgas/2+-2.641760769999998e-06*Tgas**2/6+-6.521792869999998e-09*Tgas**3/12+4.40434418e-12*Tgas**4/20--12193.81774/Tgas+2.57286661)
311,O2,O2,,O,O3,,1.83E-11*exp(-2164./Tgas)*pct**(0)/exp(0.9892634099999995*(log(Tgas)-1)+-0.00476794011*Tgas/2+-7.97065139999998e-07*Tgas**2/6+9.096630259999999e-09*Tgas**3/12+-5.38593523e-12*Tgas**4/20--47114.64422/Tgas+-3.019057800000002)
312,H2O,O,,OH,OH,,1.29E-13*((Tgas/298.)**1.85)*exp(865./Tgas)*pct**(0)/exp(-0.6170661799999997*(log(Tgas)-1)+-0.0005135874400000002*Tgas/2+3.930124899999999e-06*Tgas**2/6+-3.85766702e-09*Tgas**3/12+1.15823767e-12*Tgas**4/20--7909.26352/Tgas+1.410921404)
313,H2O2,M,,OH,OH,M,6.94E-31*((Tgas/298.)**-0.80)*pct**(-1)/exp(-3.66881699*(log(Tgas)-1)+0.003954742478*Tgas/2+8.40715164e-06*Tgas**2/6+-1.491796828e-08*Tgas**3/12+6.3631115399999995e-12*Tgas**4/20--24444.540419999998/Tgas+3.481730144)
314,CO2,H,,CO,OH,,5.40E-14*(Tgas/298.)**(1.50e+00)*exp(250./Tgas)*pct**(0)/exp(-2.71470474*(log(Tgas)-1)+0.01199555014*Tgas/2+-1.275551783e-05*Tgas**2/6+5.429458000000001e-09*Tgas**3/12+-6.0165601e-13*Tgas**4/20--11923.123360000001/Tgas+6.049809827000001)
