# [b'Cross sections for HNC\nHelgi Rafn Hr\xc3\xb3\xc3\xb0marsson 2022-11-24\nPhotodissociation source: Aguado+ (2017)\nPhotoionization source: Gans+ (2019)\nwavelength: (nm)\nphotoabsorption:    cross section (cm2)\nphotodissociation:  cross section (cm2)\nphotoionisation:    cross section (cm2)']
# 
# wavelength   photoabsorption photodissociation   photoionisation
  85.3586965       5.52882e-17       0.00000e+00       5.52882e-17
  85.3763304       5.52449e-17       0.00000e+00       5.52449e-17
  85.3933834       5.52011e-17       0.00000e+00       5.52011e-17
  85.4110317       5.51572e-17       0.00000e+00       5.51572e-17
  85.4280986       5.51122e-17       0.00000e+00       5.51122e-17
  85.4457612       5.50662e-17       0.00000e+00       5.50662e-17
  85.4628420       5.50201e-17       0.00000e+00       5.50201e-17
  85.4805189       5.49724e-17       0.00000e+00       5.49724e-17
  85.4976136       5.49230e-17       0.00000e+00       5.49230e-17
  85.5153050       5.48725e-17       0.00000e+00       5.48725e-17
  85.5324136       5.48203e-17       0.00000e+00       5.48203e-17
  85.5501194       5.47654e-17       0.00000e+00       5.47654e-17
  85.5672419       5.47071e-17       0.00000e+00       5.47071e-17
  85.5849621       5.46472e-17       0.00000e+00       5.46472e-17
  85.6020986       5.45828e-17       0.00000e+00       5.45828e-17
  85.6198332       5.45151e-17       0.00000e+00       5.45151e-17
  85.6369837       5.44447e-17       0.00000e+00       5.44447e-17
  85.6547328       5.43681e-17       0.00000e+00       5.43681e-17
  85.6718972       5.42877e-17       0.00000e+00       5.42877e-17
  85.6896608       5.42039e-17       0.00000e+00       5.42039e-17
  85.7068392       5.41124e-17       0.00000e+00       5.41124e-17
  85.7246173       5.40170e-17       0.00000e+00       5.40170e-17
  85.7418097       5.39178e-17       0.00000e+00       5.39178e-17
  85.7596023       5.38102e-17       0.00000e+00       5.38102e-17
  85.7768088       5.36987e-17       0.00000e+00       5.36987e-17
  85.7946159       5.35823e-17       0.00000e+00       5.35823e-17
  85.8118365       5.34592e-17       0.00000e+00       5.34592e-17
  85.8296581       5.33322e-17       0.00000e+00       5.33322e-17
  85.8468928       5.32002e-17       0.00000e+00       5.32002e-17
  85.8647290       5.30627e-17       0.00000e+00       5.30627e-17
  85.8819777       5.29224e-17       0.00000e+00       5.29224e-17
  85.8998285       5.27783e-17       0.00000e+00       5.27783e-17
  85.9170913       5.26303e-17       0.00000e+00       5.26303e-17
  85.9349567       5.24800e-17       0.00000e+00       5.24800e-17
  85.9522337       5.23286e-17       0.00000e+00       5.23286e-17
  85.9701137       5.21745e-17       0.00000e+00       5.21745e-17
  85.9874048       5.20193e-17       0.00000e+00       5.20193e-17
  86.0052994       5.18646e-17       0.00000e+00       5.18646e-17
  86.0226047       5.17105e-17       0.00000e+00       5.17105e-17
  86.0405140       5.15580e-17       0.00000e+00       5.15580e-17
  86.0578334       5.14077e-17       0.00000e+00       5.14077e-17
  86.0757574       5.12586e-17       0.00000e+00       5.12586e-17
  86.0930910       5.11128e-17       0.00000e+00       5.11128e-17
  86.1110297       5.09697e-17       0.00000e+00       5.09697e-17
  86.1283775       5.08289e-17       0.00000e+00       5.08289e-17
  86.1463309       5.06925e-17       0.00000e+00       5.06925e-17
  86.1636930       5.05583e-17       0.00000e+00       5.05583e-17
  86.1816611       5.04269e-17       0.00000e+00       5.04269e-17
  86.1990374       5.02999e-17       0.00000e+00       5.02999e-17
  86.2170203       5.01757e-17       0.00000e+00       5.01757e-17
  86.2344108       5.00537e-17       0.00000e+00       5.00537e-17
  86.2524084       4.99356e-17       0.00000e+00       4.99356e-17
  86.2698133       4.98203e-17       0.00000e+00       4.98203e-17
  86.2878257       4.97077e-17       0.00000e+00       4.97077e-17
  86.3052448       4.95979e-17       0.00000e+00       4.95979e-17
  86.3232720       4.94909e-17       0.00000e+00       4.94909e-17
  86.3407055       4.93861e-17       0.00000e+00       4.93861e-17
  86.3587475       4.92835e-17       0.00000e+00       4.92835e-17
  86.3761953       4.91836e-17       0.00000e+00       4.91836e-17
  86.3942522       4.90849e-17       0.00000e+00       4.90849e-17
  86.4117143       4.89884e-17       0.00000e+00       4.89884e-17
  86.4297860       4.88941e-17       0.00000e+00       4.88941e-17
  86.4472625       4.88021e-17       0.00000e+00       4.88021e-17
  86.4653491       4.87111e-17       0.00000e+00       4.87111e-17
  86.4828400       4.86235e-17       0.00000e+00       4.86235e-17
  86.5009415       4.85370e-17       0.00000e+00       4.85370e-17
  86.5184468       4.84521e-17       0.00000e+00       4.84521e-17
  86.5365632       4.83700e-17       0.00000e+00       4.83700e-17
  86.5540829       4.82896e-17       0.00000e+00       4.82896e-17
  86.5722143       4.82108e-17       0.00000e+00       4.82108e-17
  86.5897484       4.81337e-17       0.00000e+00       4.81337e-17
  86.6078947       4.80583e-17       0.00000e+00       4.80583e-17
  86.6254433       4.79845e-17       0.00000e+00       4.79845e-17
  86.6436045       4.79118e-17       0.00000e+00       4.79118e-17
  86.6611676       4.78403e-17       0.00000e+00       4.78403e-17
  86.6793438       4.77692e-17       0.00000e+00       4.77692e-17
  86.6969214       4.76993e-17       0.00000e+00       4.76993e-17
  86.7151127       4.76294e-17       0.00000e+00       4.76294e-17
  86.7327048       4.75579e-17       0.00000e+00       4.75579e-17
  86.7509110       4.74858e-17       0.00000e+00       4.74858e-17
  86.7685176       4.74109e-17       0.00000e+00       4.74109e-17
  86.7867389       4.73338e-17       0.00000e+00       4.73338e-17
  86.8043601       4.72556e-17       0.00000e+00       4.72556e-17
  86.8225964       4.71724e-17       0.00000e+00       4.71724e-17
  86.8402322       4.70853e-17       0.00000e+00       4.70853e-17
  86.8584836       4.69954e-17       0.00000e+00       4.69954e-17
  86.8761339       4.68989e-17       0.00000e+00       4.68989e-17
  86.8944004       4.67975e-17       0.00000e+00       4.67975e-17
  86.9120654       4.66926e-17       0.00000e+00       4.66926e-17
  86.9303470       4.65784e-17       0.00000e+00       4.65784e-17
  86.9480265       4.64586e-17       0.00000e+00       4.64586e-17
  86.9663233       4.63339e-17       0.00000e+00       4.63339e-17
  86.9840175       4.61997e-17       0.00000e+00       4.61997e-17
  87.0023294       4.60594e-17       0.00000e+00       4.60594e-17
  87.0200382       4.59125e-17       0.00000e+00       4.59125e-17
  87.0383653       4.57572e-17       0.00000e+00       4.57572e-17
  87.0567001       4.55959e-17       0.00000e+00       4.55959e-17
  87.0744311       4.54274e-17       0.00000e+00       4.54274e-17
  87.0927811       4.52522e-17       0.00000e+00       4.52522e-17
  87.1105268       4.50698e-17       0.00000e+00       4.50698e-17
  87.1288920       4.48819e-17       0.00000e+00       4.48819e-17
  87.1466524       4.46878e-17       0.00000e+00       4.46878e-17
  87.1650329       4.44871e-17       0.00000e+00       4.44871e-17
  87.1828080       4.42820e-17       0.00000e+00       4.42820e-17
  87.2012037       4.40725e-17       0.00000e+00       4.40725e-17
  87.2189936       4.38574e-17       0.00000e+00       4.38574e-17
  87.2374046       4.36390e-17       0.00000e+00       4.36390e-17
  87.2552093       4.34167e-17       0.00000e+00       4.34167e-17
  87.2736356       4.31900e-17       0.00000e+00       4.31900e-17
  87.2914551       4.29621e-17       0.00000e+00       4.29621e-17
  87.3098967       4.27315e-17       0.00000e+00       4.27315e-17
  87.3277310       4.24981e-17       0.00000e+00       4.24981e-17
  87.3461879       4.22637e-17       0.00000e+00       4.22637e-17
  87.3640370       4.20275e-17       0.00000e+00       4.20275e-17
  87.3825093       4.17914e-17       0.00000e+00       4.17914e-17
  87.4003732       4.15558e-17       0.00000e+00       4.15558e-17
  87.4188609       4.13219e-17       0.00000e+00       4.13219e-17
  87.4367397       4.10896e-17       0.00000e+00       4.10896e-17
  87.4552428       4.08601e-17       0.00000e+00       4.08601e-17
  87.4731365       4.06334e-17       0.00000e+00       4.06334e-17
  87.4916549       4.04094e-17       0.00000e+00       4.04094e-17
  87.5095636       4.01899e-17       0.00000e+00       4.01899e-17
  87.5280974       3.99754e-17       0.00000e+00       3.99754e-17
  87.5460210       3.97647e-17       0.00000e+00       3.97647e-17
  87.5645703       3.95618e-17       0.00000e+00       3.95618e-17
  87.5825088       3.93639e-17       0.00000e+00       3.93639e-17
  87.6010736       3.91704e-17       0.00000e+00       3.91704e-17
  87.6190271       3.89864e-17       0.00000e+00       3.89864e-17
  87.6376073       3.88078e-17       0.00000e+00       3.88078e-17
  87.6555758       3.86349e-17       0.00000e+00       3.86349e-17
  87.6741715       3.84724e-17       0.00000e+00       3.84724e-17
  87.6921550       3.83155e-17       0.00000e+00       3.83155e-17
  87.7107663       3.81642e-17       0.00000e+00       3.81642e-17
  87.7287647       3.80233e-17       0.00000e+00       3.80233e-17
  87.7473916       3.78875e-17       0.00000e+00       3.78875e-17
  87.7654051       3.77577e-17       0.00000e+00       3.77577e-17
  87.7840475       3.76363e-17       0.00000e+00       3.76363e-17
  87.8020760       3.75199e-17       0.00000e+00       3.75199e-17
  87.8207340       3.74089e-17       0.00000e+00       3.74089e-17
  87.8387776       3.73047e-17       0.00000e+00       3.73047e-17
  87.8574512       3.72043e-17       0.00000e+00       3.72043e-17
  87.8755099       3.71078e-17       0.00000e+00       3.71078e-17
  87.8941992       3.70152e-17       0.00000e+00       3.70152e-17
  87.9122730       3.69248e-17       0.00000e+00       3.69248e-17
  87.9309779       3.68360e-17       0.00000e+00       3.68360e-17
  87.9490668       3.67501e-17       0.00000e+00       3.67501e-17
  87.9677873       3.66636e-17       0.00000e+00       3.66636e-17
  87.9858914       3.65748e-17       0.00000e+00       3.65748e-17
